"名稱","稀有度","食譜獲取方式"
"乾鍋臘肉","3","璃月琉璃亭購買獲得（人物：<「琉璃亭」女侍>璃彩）"
"渡來禽肉","3","世界任務「執望三千里」獲得。"
"來來菜","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：40級）"
"千層酥酥","3","須彌城普斯帕咖啡館購買獲得食譜（人物：恩忒卡）"
"假日果釀","3","蒙德-清泉鎮附近-在3.1版本「杯中遙吟之歌」限時活動期間向歸風佳釀節釀酒師格奧爾格購買。"
"鰻肉茶泡飯","3","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"棗椰蜜糖","3","須彌城普斯帕咖啡館購買獲得食譜（人物：恩忒卡）"
"蓮花酥","3","璃月城聲望系統（人物：小雨）4級獎勵獲得"
"市井雜煮","3","稻妻聲望系統4級獎勵獲得"
"嘟嘟蓮海鮮羹","3","蒙德城獵鹿人購買獲得（人物：莎拉；旅行者等級：30級）"
"緋櫻蝦仙貝","3","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"天樞肉","4","璃月城聲望系統（人物：小雨）7級獎勵獲得"
"豐年有餘","4","2.4版本海燈節活動(「飛彩鐫流年」玄壁雲聚第Ⅲ幕，完成【綱舉目張】挑戰（獲取食譜）)"
"刺身拼盤","4","世界任務「全能美食隊·吃飽的重要性」完成後獲得。"
"雞豆花","4","世界任務此菜不應人間有完成後獲得。"
"唐杜爾烤雞","4","世界任務「全能美食隊·收束」完成後獲得。"
"肉肉烤蘑菇披薩","4","「必勝邀約，風起之旅」同步郵件活得獲得食譜。"
"大黃金吮指雞","4","“原神異世尋味禮”兌換獎勵內獲得成品。「異鄉食記」活動簽到獲得食譜。"
"翡玉什錦袋","4","11級任務（地點：蒙德清泉鎮；香菱支線任務）“長杓之章”第一幕“蒙德食遇之旅”中“料理對決”任務期間獲得"
"月亮派","4","蒙德城聲望系統（人物：赫塔）7級獎勵獲得"
"辣肉窩窩頭","4","在「韶光撫月」活動中，完成六情通七仙賀八方飄香九霄得聞十分完滿任務獲得食譜。"
"奶油蟹蟹","4","稻妻聲望系統7級獎勵獲得"
"獸米香香","4","須彌城聲望系統（人物：阿芬迪）7級獎勵獲得"
"黃金蟹","4","38級傳說任務（莫娜支線任務）“映天之章”第一幕“在此世的星空外”中“向蒙德出發”任務期間獲得"
"仙跳牆","5","探索慶雲頂三鳥匯聚之地，指引浮島上寶箱內獲得"
